tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0462538	movie	The Simpsons Movie	2007.0	\N	0.0	87	Adventure,Animation,Comedy	7.3	359744.0	After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.			https://www.streamwithvpn.com/the-simpsons-movie-2007	success
tt0129711	tvSeries	The Royle Family	1998.0	2013	0.0	45	Comedy	8.2	9732.0	The Royle Family is a British sitcom created by Caroline Aherne and Craig Cash, and produced by Granada Television for BBC Two (series 1) and BBC One (series 2 and 3). It centres on the lives of a television-fixated Manchester family, the Royles, comprising lazy patriarch Jim, his hard-working wife Barbara, their entitled daughter Denise, their put-upon son Antony, and Denise's lad fiancé–later husband–David.			https://www.streamwithvpn.com/the-royle-family-1998	success
tt14260836	movie	Better Man	2024.0	\N	0.0	135	Biography,Fantasy,Music	7.5	39986.0	Follow Robbie Williams' journey from childhood, to being the youngest member of chart-topping boyband Take That, through to his unparalleled achievements as a record-breaking solo artist – all the while confronting the challenges that stratospheric fame and success can bring.			https://www.streamwithvpn.com/better-man-2024	success
tt0238380	movie	Equilibrium	2002.0	\N	0.0	107	Action,Drama,Sci-Fi	7.3	358070.0	In a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. A man in charge of enforcing the law rises to overthrow the system.			https://www.streamwithvpn.com/equilibrium-2002	success
tt16294384	tvSeries	Disclaimer	2024.0	2024	0.0	49	Drama,Mystery,Thriller	7.5	39980.0	When an intriguing novel appears at the bedside of a journalist whose career has been built on revealing transgressions, she is horrified to realize she's a key character in a long-buried story—one that exposes her darkest secret.			https://www.streamwithvpn.com/disclaimer-2024	success
tt8359816	movie	Sorry We Missed You	2019.0	\N	0.0	101	Drama	7.6	27656.0	Ricky and his family have been fighting an uphill struggle against debt since the 2008 financial crash. An opportunity to wrestle back some independence appears with a shiny new van and the chance to run a franchise as a self-employed delivery driver. It's hard work, and his wife's job as a carer is no easier. The family unit is strong but when both are pulled in different directions everything comes to breaking point.			https://www.streamwithvpn.com/sorry-we-missed-you-2019	success
tt2480514	tvSeries	In the Flesh	2013.0	2014	0.0	56	Comedy,Drama,Horror	7.9	14385.0	Thousands of dead people have risen from their graves and nearly destroyed Britain. A cure has been found - but can the treated zombies be rehabilitated back into living society?			https://www.streamwithvpn.com/in-the-flesh-2013	success
tt9881586	movie	Rascal Does Not Dream of a Dreaming Girl	2019.0	\N	0.0	89	Animation,Drama,Fantasy	8.3	8771.0	In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.			https://www.streamwithvpn.com/rascal-does-not-dream-of-a-dreaming-girl-2019	success
tt1618952		Gönülçelen											https://www.streamwithvpn.com/gönülçelen-2010	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/g%C3%B6n%C3%BCl%C3%A7elen
tt1078188	movie	Boy A	2007.0	\N	0.0	106	Drama	7.5	39814.0	Freed after a lengthy term in a juvenile detention center, convicted child killer Jack Burridge finds work as a deliveryman and begins dating co-worker Michelle. While out on the road one day, Jack notices a distressed child, and, after reuniting the girl with her family, becomes a local celebrity. But when a local newspaper unearths his past, Jack must cope with the anger of citizens who fear for the safety of their children.			https://www.streamwithvpn.com/boy-a-2007	success
tt4309356	movie	Ivy	2015.0	\N	0.0	104	Drama,Fantasy,Thriller	7.9	14369.0	After the owner's bankruptcy, the crew is stranded on a freighter for months. Dealing with the stress of isolation, seafarers gradually surrender to madness and terror.			https://www.streamwithvpn.com/ivy-2015	success
